"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","1.1.33.158","1.2.156.163","SSLv3","1475","Application Data"
"2","0.000002","1.1.23.218","1.2.31.193","SSLv3","163","Application Data"
"3","0.000004","1.2.84.77","1.1.252.248","TCP","70","443  >  22794 [ACK] Seq=1 Ack=1 Win=49232 Len=0 TSval=591811613 TSecr=301244023"
"4","0.000004","1.1.71.180","1.2.79.35","SSLv3","1475","Application Data"
"5","0.000005","1.1.41.222","1.2.129.94","SSLv3","136","Application Data"
"6","0.000006","1.1.229.71","1.2.90.5","SSLv3","136","Application Data"
"7","0.000010","1.1.66.83","1.2.254.104","TCP","70","1827  >  443 [ACK] Seq=1 Ack=1 Win=41992 Len=0 TSval=301244421 TSecr=591811348"
"8","0.000011","1.2.233.222","1.1.226.59","SSLv3","906","Application Data"
"9","0.000012","1.1.136.18","1.2.243.46","SSLv3","136","Application Data"
"10","0.000015","1.2.69.190","1.1.61.224","TCP","70","443  >  19066 [ACK] Seq=1 Ack=1 Win=46336 Len=0 TSval=591811699 TSecr=301243327"
"11","0.000016","1.1.227.247","1.2.96.49","SSLv3","1475","Application Data"
"12","0.000017","1.1.221.225","1.2.113.188","SSLv3","135","Application Data"
"13","0.000019","1.2.156.163","1.1.33.158","TCP","70","443  >  41319 [ACK] Seq=1 Ack=1406 Win=49232 Len=0 TSval=591811733 TSecr=301244337"
"14","0.000020","1.1.51.184","1.2.59.249","SSLv3","1475","Application Data"
"15","0.000025","1.2.79.227","1.1.72.11","SSLv3","1418","Application Data"
"16","0.000028","1.2.60.230","1.1.53.44","SSLv3","1418","Application Data"
"17","0.000029","1.2.71.224","1.1.63.165","SSLv3","483","Application Data"
"18","0.000032","1.1.213.5","1.2.220.174","SSLv3","1475","Application Data"
"19","0.000033","1.1.1.95","1.2.189.119","TCP","70","3634  >  443 [ACK] Seq=1 Ack=1 Win=40544 Len=0 TSval=301244595 TSecr=591811456"
"20","0.000033","1.1.166.216","1.2.26.232","SSLv3","1475","Application Data"
"21","0.000033","1.2.194.247","1.1.223.136","SSLv3","1418","Application Data"
"22","0.000036","1.1.247.245","1.2.80.31","SSLv3","1475","Application Data"
"23","0.000038","1.1.197.143","1.2.206.53","SSLv3","1475","Application Data"
"24","0.000039","1.1.172.83","1.2.171.237","TCP","70","9382  >  443 [ACK] Seq=1 Ack=1 Win=40544 Len=0 TSval=301244648 TSecr=591811547"
"25","0.000040","1.1.226.59","1.2.233.222","TCP","70","25241  >  443 [ACK] Seq=1 Ack=837 Win=41992 Len=0 TSval=301244661 TSecr=591811668"
"26","0.000043","1.2.243.46","1.1.136.18","TCP","70","443  >  19437 [ACK] Seq=1 Ack=67 Win=47784 Len=0 TSval=591811922 TSecr=301244436"
"27","0.000044","1.1.115.3","1.2.123.127","SSLv3","1475","Application Data"
"28","0.000046","1.1.179.37","1.2.167.23","SSLv3","1475","Application Data"
"29","0.000047","1.1.112.221","1.2.204.68","SSLv3","135","Application Data"
"30","0.000049","1.2.167.245","1.1.184.58","SSLv3","483","Application Data"
"31","0.000049","1.2.71.67","1.1.139.64","TCP","70","443  >  1026 [ACK] Seq=1 Ack=1 Win=49232 Len=0 TSval=591811975 TSecr=301244212"
"32","0.000050","1.1.187.230","1.2.24.211","SSLv3","1475","Application Data"
"33","0.000051","1.1.138.32","1.2.72.176","TCP","70","19803  >  443 [ACK] Seq=1 Ack=1 Win=39096 Len=0 TSval=301244740 TSecr=591811378"
"34","0.000051","1.1.8.77","1.2.164.237","SSLv3","1475","Application Data"
"35","0.000052","1.2.211.103","1.1.212.15","SSLv3","1418","Application Data"
"36","0.000053","1.2.113.173","1.1.210.110","SSLv3","483","Application Data"
"37","0.000054","1.2.59.249","1.1.51.184","TCP","70","443  >  36027 [ACK] Seq=1 Ack=1406 Win=49232 Len=0 TSval=591812009 TSecr=301244492"
"38","0.000056","1.1.53.44","1.2.60.230","TCP","70","36268  >  443 [ACK] Seq=1 Ack=1349 Win=40544 Len=0 TSval=301244791 TSecr=591811803"
"39","0.000061","1.1.63.165","1.2.71.224","TCP","70","19613  >  443 [ACK] Seq=1 Ack=414 Win=39096 Len=0 TSval=301244831 TSecr=591811812"
"40","0.000062","1.2.216.103","1.1.212.235","SSLv3","483","Application Data"
"41","0.000063","1.2.180.230","1.1.205.83","TCP","70","443  >  47521 [ACK] Seq=1 Ack=1 Win=50680 Len=0 TSval=591812085 TSecr=301244319"
"42","0.000064","1.1.223.136","1.2.194.247","TCP","70","31670  >  443 [ACK] Seq=1 Ack=1349 Win=40544 Len=0 TSval=301244854 TSecr=591811847"
"43","0.000065","1.2.208.195","1.1.233.37","TCP","70","443  >  54654 [ACK] Seq=1 Ack=1 Win=47784 Len=0 TSval=591812100 TSecr=301244313"
"44","0.000068","1.2.19.12","1.1.11.195","SSLv3","1418","Application Data"
"45","0.000070","1.2.171.122","1.1.23.76","SSLv3","906","Application Data"
"46","0.000070","1.2.229.227","1.1.73.219","TCP","70","443  >  22176 [ACK] Seq=1 Ack=1 Win=43440 Len=0 TSval=591812142 TSecr=301244107"
"47","0.000070","1.2.26.232","1.1.166.216","TCP","70","443  >  45999 [ACK] Seq=1 Ack=1406 Win=52128 Len=0 TSval=591812142 TSecr=301244597"
"48","0.000072","1.2.79.35","1.1.71.180","TCP","70","443  >  65486 [ACK] Seq=1 Ack=1406 Win=43440 Len=0 TSval=591812158 TSecr=301244367"
"49","0.000073","1.2.39.118","1.1.31.166","TCP","70","443  >  11313 [ACK] Seq=1 Ack=1 Win=49232 Len=0 TSval=591812165 TSecr=301243817"
"50","0.000074","1.2.123.127","1.1.115.3","TCP","70","443  >  52286 [ACK] Seq=1 Ack=1406 Win=49232 Len=0 TSval=591812174 TSecr=301244686"
"51","0.000074","1.1.159.90","1.2.54.222","SSLv3","1475","Application Data"
"52","0.000075","1.1.184.58","1.2.167.245","TCP","70","6329  >  443 [ACK] Seq=1 Ack=414 Win=39096 Len=0 TSval=301244934 TSecr=591811971"
"53","0.000078","1.2.14.81","1.1.6.206","SSLv3","906","Application Data"
"54","0.000078","1.2.126.209","1.1.118.220","TCP","70","443  >  33684 [ACK] Seq=1 Ack=1 Win=52128 Len=0 TSval=591812206 TSecr=301244155"
"55","0.000078","1.2.80.31","1.1.247.245","TCP","70","443  >  21726 [ACK] Seq=1 Ack=1406 Win=49232 Len=0 TSval=591812207 TSecr=301244617"
"56","0.000079","1.1.240.49","1.2.255.184","SSLv3","1475","Application Data"
"57","0.000080","1.1.36.205","1.2.47.250","SSLv3","1475","Application Data"
"58","0.000082","1.1.210.110","1.2.113.173","TCP","70","30296  >  443 [ACK] Seq=1 Ack=414 Win=39096 Len=0 TSval=301244998 TSecr=591812006"
"59","0.000083","1.2.24.211","1.1.187.230","TCP","70","443  >  45455 [ACK] Seq=1 Ack=1406 Win=49232 Len=0 TSval=591812240 TSecr=301244730"
"60","0.000084","1.2.250.56","1.1.70.176","TCP","70","443  >  21241 [ACK] Seq=1 Ack=1 Win=50680 Len=0 TSval=591812250 TSecr=301244187"
"61","0.000084","1.1.47.72","1.2.54.235","TCP","70","15271  >  443 [ACK] Seq=1 Ack=1 Win=41992 Len=0 TSval=301245015 TSecr=591811055"
"62","0.000086","1.2.129.94","1.1.41.222","TCP","70","443  >  14880 [ACK] Seq=1 Ack=67 Win=47784 Len=0 TSval=591812268 TSecr=301244377"
"63","0.000087","1.1.212.235","1.2.216.103","TCP","70","56599  >  443 [ACK] Seq=1 Ack=414 Win=39096 Len=0 TSval=301245037 TSecr=591812077"
"64","0.000092","1.2.35.66","1.1.27.145","TCP","70","443  >  10238 [ACK] Seq=1 Ack=1 Win=49232 Len=0 TSval=591812317 TSecr=301244088"
"65","0.000092","1.1.213.246","1.2.105.170","SSLv3","1475","Application Data"
"66","0.000093","1.2.54.222","1.1.159.90","TCP","70","443  >  15259 [ACK] Seq=1 Ack=1406 Win=49232 Len=0 TSval=591812326 TSecr=301244924"
"67","0.000093","1.1.212.15","1.2.211.103","TCP","70","57380  >  443 [ACK] Seq=1 Ack=1349 Win=40544 Len=0 TSval=301245083 TSecr=591811997"
"68","0.000095","1.1.72.11","1.2.79.227","TCP","70","59551  >  443 [ACK] Seq=1 Ack=1349 Win=40544 Len=0 TSval=301245105 TSecr=591811776"
"69","0.000096","1.2.96.49","1.1.227.247","TCP","70","443  >  55533 [ACK] Seq=1 Ack=1406 Win=49232 Len=0 TSval=591812345 TSecr=301244457"
"70","0.000096","1.1.245.8","1.2.72.3","SSLv3","163","Application Data"
