"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","1.1.58.254","1.2.143.109","UDP","976","16403  >  16403 Len=930"
"2","0.000001","1.1.247.138","1.2.247.232","UDP","292","16403  >  16403 Len=246"
"3","0.000002","1.1.72.112","1.2.72.222","UDP","292","16403  >  16403 Len=246"
"4","0.000003","1.2.29.161","1.1.169.52","UDP","227","16403  >  16403 Len=181"
"5","0.000002","1.1.245.107","1.2.245.230","UDP","976","16403  >  16403 Len=930"
"6","0.000003","1.1.46.18","1.2.46.127","UDP","292","16403  >  16403 Len=246"
"7","0.000003","1.1.88.34","1.2.88.128","UDP","292","16403  >  16403 Len=246"
"8","0.000004","1.1.176.37","1.2.176.145","UDP","976","16403  >  16403 Len=930"
"9","0.000004","1.1.128.47","1.2.128.141","UDP","292","16403  >  16403 Len=246"
"10","0.000005","1.2.0.23","1.1.127.8","UDP","227","16403  >  16403 Len=181"
"11","0.000005","1.1.68.95","1.2.68.203","UDP","976","16403  >  16403 Len=930"
"12","0.000005","1.2.198.183","1.1.114.74","UDP","227","16403  >  16403 Len=181"
"13","0.000005","1.1.181.60","1.2.1.170","UDP","976","16403  >  16403 Len=930"
"14","0.000006","1.1.71.210","1.2.252.218","UDP","292","16403  >  16403 Len=246"
"15","0.000007","1.1.163.107","1.2.23.218","UDP","292","16403  >  16403 Len=246"
"16","0.000007","1.1.47.159","1.2.132.11","UDP","292","16403  >  16403 Len=246"
"17","0.000007","1.1.20.19","1.2.20.139","UDP","292","16403  >  16403 Len=246"
"18","0.000007","1.1.22.111","1.2.22.205","UDP","292","16403  >  16403 Len=246"
"19","0.000008","1.1.103.155","1.2.220.5","UDP","292","16403  >  16403 Len=246"
"20","0.000008","1.1.216.94","1.2.216.202","UDP","292","16403  >  16403 Len=246"
"21","0.000008","1.1.80.186","1.2.81.24","UDP","292","16403  >  16403 Len=246"
"22","0.000008","1.1.212.67","1.2.212.178","UDP","292","16403  >  16403 Len=246"
"23","0.000010","1.1.183.48","1.2.183.142","UDP","292","16403  >  16403 Len=246"
"24","0.000011","1.2.48.59","1.1.47.187","UDP","227","16403  >  16403 Len=181"
"25","0.000011","1.2.141.70","1.1.140.218","UDP","227","16403  >  16403 Len=181"
"26","0.000012","1.1.223.225","1.2.216.77","UDP","976","16403  >  16403 Len=930"
"27","0.000013","1.1.200.70","1.2.200.178","UDP","426","16403  >  16403 Len=380"
"28","0.000013","1.1.31.21","1.2.31.115","UDP","292","16403  >  16403 Len=246"
"29","0.000013","1.1.71.21","1.2.71.134","UDP","292","16403  >  16403 Len=246"
"30","0.000013","1.1.192.120","1.2.192.214","UDP","292","16403  >  16403 Len=246"
"31","0.000014","1.1.215.133","1.2.99.244","UDP","292","16403  >  16403 Len=246"
"32","0.000014","1.1.240.110","1.2.240.204","UDP","292","16403  >  16403 Len=246"
"33","0.000014","1.1.251.150","1.2.228.2","UDP","976","16403  >  16403 Len=930"
"34","0.000015","1.1.72.159","1.2.73.28","UDP","976","16403  >  16403 Len=930"
"35","0.000016","1.1.174.233","1.2.27.84","UDP","292","16403  >  16403 Len=246"
"36","0.000016","1.1.223.45","1.2.223.150","UDP","292","16403  >  16403 Len=246"
"37","0.000016","1.2.151.240","1.1.34.245","UDP","227","16403  >  16403 Len=181"
"38","0.000016","1.1.106.42","1.2.106.136","UDP","292","16403  >  16403 Len=246"
"39","0.000017","1.1.41.158","1.2.41.252","UDP","292","16403  >  16403 Len=246"
"40","0.000017","1.1.97.137","1.2.97.253","UDP","292","16403  >  16403 Len=246"
"41","0.000017","1.1.25.168","1.2.26.24","UDP","292","16403  >  16403 Len=246"
"42","0.000019","1.1.75.111","1.2.255.208","UDP","976","16403  >  16403 Len=930"
"43","0.000020","1.1.113.205","1.2.114.43","UDP","292","16403  >  16403 Len=246"
"44","0.000020","1.1.235.147","1.2.235.239","UDP","292","16403  >  16403 Len=246"
"45","0.000020","1.1.57.90","1.2.57.184","UDP","292","16403  >  16403 Len=246"
"46","0.000021","1.1.103.198","1.2.104.34","UDP","292","16403  >  16403 Len=246"
