"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","1.2.179.110","1.1.223.220","TCP","1518","80  >  3112 [ACK] Seq=1 Ack=1 Win=7240 Len=1448 TSval=379176253 TSecr=87075148 [TCP segment of a reassembled PDU]"
"2","0.000001","1.2.209.203","1.1.93.219","TCP","70","443  >  27268 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=379176263 TSecr=88608051"
"3","0.000001","1.2.179.110","1.1.223.220","HTTP","167","HTTP/1.1 200 OK  (text/html)"
"4","0.000002","1.2.101.130","1.1.97.103","TCP","70","443  >  54842 [ACK] Seq=1 Ack=1 Win=23168 Len=0 TSval=379176271 TSecr=88608929"
"5","0.000004","1.2.220.86","1.1.93.135","SSLv3","470","Application Data"
"6","0.000008","1.1.128.110","1.2.229.21","TCP","70","59853  >  80 [ACK] Seq=1 Ack=1 Win=5792 Len=0 TSval=88609082 TSecr=379176192"
"7","0.000008","1.2.12.70","1.1.188.40","TCP","70","443  >  4358 [ACK] Seq=1 Ack=1 Win=23168 Len=0 TSval=379176319 TSecr=88606613"
"8","0.000011","1.1.2.13","1.2.183.35","TCP","70","46383  >  443 [ACK] Seq=1 Ack=1 Win=30408 Len=0 TSval=88609103 TSecr=379176150"
"9","0.000011","1.2.105.82","1.1.212.72","SSLv3","470","Application Data"
"10","0.000011","1.2.32.210","1.1.28.147","TCP","70","443  >  9615 [FIN, ACK] Seq=1 Ack=1 Win=23168 Len=0 TSval=379176342 TSecr=88608586"
"11","0.000015","1.2.170.53","1.1.173.245","SSLv3","1284","Application Data"
"12","0.000016","1.2.239.73","1.1.82.81","TCP","70","443  >  60419 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=379176379 TSecr=88608667"
"13","0.000016","1.2.187.105","1.1.192.23","TCP","70","80  >  5156 [FIN, ACK] Seq=1 Ack=1 Win=7240 Len=0 TSval=379176379 TSecr=88129379"
"14","0.000017","1.2.45.65","1.1.152.216","TCP","70","443  >  40443 [ACK] Seq=1 Ack=1 Win=31856 Len=0 TSval=379176385 TSecr=88606648"
"15","0.000016","1.1.55.39","1.2.131.143","SSLv3","1456","Application Data"
"16","0.000018","1.1.170.30","1.2.30.126","TCP","70","44854  >  443 [ACK] Seq=1 Ack=1 Win=31856 Len=0 TSval=88609146 TSecr=379175810"
"17","0.000018","1.2.163.46","1.1.186.113","TCP","70","443  >  7146 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=379176400 TSecr=87521160"
"18","0.000019","1.2.14.26","1.1.10.86","TCP","70","443  >  48851 [FIN, ACK] Seq=1 Ack=1 Win=23168 Len=0 TSval=379176405 TSecr=87079772"
"19","0.000023","1.1.82.156","1.2.231.4","TCP","70","60347  >  443 [FIN, ACK] Seq=1 Ack=1 Win=31856 Len=0 TSval=88609195 TSecr=379173981"
"20","0.000026","1.2.35.207","1.1.7.187","TCP","1518","80  >  10386 [ACK] Seq=1 Ack=1 Win=7240 Len=1448 TSval=379176458 TSecr=86811923 [TCP segment of a reassembled PDU]"
"21","0.000027","1.2.35.207","1.1.7.187","HTTP","167","HTTP/1.1 200 OK  (text/html)"
"22","0.000027","1.1.236.188","1.2.116.79","HTTP","1298","GET http://www.google.ro/accounts/KKjcLPR?hl=en&service=mail&ilo=1&ils=s.RO&ilc=1&continue=https%3A%2F%2Faccounts.google.com%2FServiceLogin%3Fservice%3Dmail%26passive%3Dtrue%26rm%3Dfalse%26continue%3Dhttps%3A%2F%2Fmail.google.com%2Fmail%2F%26ss%3D1%26scc%3D1%26ltmpl%3Ddefault%26ltmplcache%3D2%26hl%3Den&zx=-024573748 HTTP/1.1 "
"23","0.000028","1.1.179.191","1.2.188.40","SSLv3","693","Application Data"
"24","0.000028","1.1.130.143","1.2.62.238","TCP","70","36795  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=88609233 TSecr=379176126"
"25","0.000030","1.1.204.172","1.2.180.202","SSLv3","878","Application Data"
"26","0.000030","1.1.223.220","1.2.179.110","TCP","70","3112  >  80 [ACK] Seq=1 Ack=1546 Win=8688 Len=0 TSval=88609251 TSecr=379176263"
"27","0.000031","1.1.142.48","1.2.85.62","TCP","70","23036  >  80 [ACK] Seq=1 Ack=1 Win=8688 Len=0 TSval=88609261 TSecr=379174206"
"28","0.000030","1.2.61.254","1.1.57.212","SSLv3","1284","Application Data"
"29","0.000031","1.2.195.216","1.1.219.175","SSLv3","470","Application Data"
"30","0.000032","1.1.57.114","1.2.58.151","TCP","70","16561  >  443 [ACK] Seq=1 Ack=1 Win=31856 Len=0 TSval=88609267 TSecr=379176210"
"31","0.000033","1.2.180.20","1.1.204.68","TCP","70","443  >  1229 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=379176519 TSecr=88427608"
"32","0.000034","1.2.209.211","1.1.74.250","TCP","74","80  >  54930 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 TSval=379176522 TSecr=88606900"
"33","0.000036","1.1.238.53","1.2.238.145","SSLv3","693","Application Data"
"34","0.000036","1.1.121.10","1.2.180.72","TCP","70","1328  >  443 [FIN, ACK] Seq=1 Ack=1 Win=24616 Len=0 TSval=88609299 TSecr=379176216"
"35","0.000037","1.1.212.72","1.2.105.82","TCP","70","57874  >  443 [ACK] Seq=1 Ack=401 Win=65535 Len=0 TSval=88609310 TSecr=379176338"
"36","0.000038","1.1.28.97","1.2.151.179","TCP","70","38008  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=88609316 TSecr=379174304"
"37","0.000042","1.2.21.116","1.1.207.113","TCP","1518","80  >  6708 [ACK] Seq=1 Ack=1 Win=7240 Len=1448 TSval=379176586 TSecr=86631761 [TCP segment of a reassembled PDU]"
"38","0.000043","1.2.105.194","1.1.101.212","TCP","70","443  >  28284 [FIN, ACK] Seq=1 Ack=1 Win=23168 Len=0 TSval=379176595 TSecr=88426736"
"39","0.000043","1.2.21.116","1.1.207.113","HTTP","167","HTTP/1.1 200 OK  (text/html)"
"40","0.000043","1.2.95.196","1.1.236.92","SSLv3","470","Application Data"
"41","0.000044","1.2.131.143","1.1.55.39","TCP","70","443  >  15432 [ACK] Seq=1 Ack=1387 Win=31856 Len=0 TSval=379176600 TSecr=88609137"
"42","0.000043","1.1.63.46","1.2.70.196","SSLv3","1439","Application Data"
"43","0.000044","1.1.1.58","1.2.177.3","TCP","70","46528  >  443 [FIN, ACK] Seq=1 Ack=1 Win=24616 Len=0 TSval=88609359 TSecr=379174155"
"44","0.000044","1.1.72.185","1.2.215.25","TCP","70","56275  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8688 Len=0 TSval=88609360 TSecr=379174404"
"45","0.000045","1.1.202.2","1.2.5.223","TCP","70","2716  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=88609375 TSecr=379175268"
"46","0.000045","1.1.82.81","1.2.239.73","TCP","70","60419  >  443 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSval=88609375 TSecr=379176379"
"47","0.000047","1.2.215.38","1.1.239.66","SSLv3","470","Application Data"
"48","0.000048","1.1.11.111","1.2.11.203","TCP","70","4225  >  443 [ACK] Seq=1 Ack=1 Win=31856 Len=0 TSval=88609398 TSecr=379174603"
"49","0.000049","1.1.186.113","1.2.163.46","TCP","70","7146  >  443 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSval=88609405 TSecr=379176400"
"50","0.000050","1.1.192.23","1.2.187.105","TCP","70","5156  >  80 [FIN, ACK] Seq=1 Ack=2 Win=8688 Len=0 TSval=88609411 TSecr=379176379"
"51","0.000050","1.2.252.171","1.1.252.79","SSLv3","993","Application Data"
"52","0.000050","1.2.16.104","1.1.12.110","TCP","70","443  >  5413 [ACK] Seq=1 Ack=1 Win=23168 Len=0 TSval=379176655 TSecr=88606925"
"53","0.000051","1.1.176.207","1.2.190.54","TCP","70","49920  >  443 [FIN, ACK] Seq=1 Ack=1 Win=24616 Len=0 TSval=88609425 TSecr=379175600"
"54","0.000052","1.1.77.246","1.2.81.207","TCP","70","60039  >  443 [FIN, ACK] Seq=1 Ack=1 Win=24616 Len=0 TSval=88609427 TSecr=379174737"
"55","0.000052","1.2.47.148","1.1.43.183","TCP","70","443  >  34893 [FIN, ACK] Seq=1 Ack=1 Win=23168 Len=0 TSval=379176670 TSecr=86649706"
"56","0.000055","1.2.83.61","1.1.56.33","TCP","1518","80  >  60408 [ACK] Seq=1 Ack=1 Win=7240 Len=1448 TSval=379176693 TSecr=86811960 [TCP segment of a reassembled PDU]"
"57","0.000056","1.2.11.116","1.1.216.50","TCP","70","80  >  48179 [ACK] Seq=1 Ack=1 Win=7240 Len=0 TSval=379176702 TSecr=88606935"
"58","0.000056","1.2.116.79","1.1.236.188","TCP","70","80  >  30984 [ACK] Seq=1 Ack=1229 Win=7240 Len=0 TSval=379176703 TSecr=88609220"
"59","0.000057","1.2.83.61","1.1.56.33","HTTP","167","HTTP/1.1 200 OK  (text/html)"
"60","0.000057","1.2.192.53","1.1.223.103","TCP","70","443  >  30961 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=379176705 TSecr=88608205"
"61","0.000058","1.2.243.203","1.1.60.162","TCP","70","443  >  19594 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=379176719 TSecr=88608386"
"62","0.000059","1.1.164.19","1.2.164.111","SSLv3","1456","Application Data"
"63","0.000060","1.1.210.153","1.2.0.239","TCP","70","1458  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8688 Len=0 TSval=88609490 TSecr=379174218"
"64","0.000060","1.1.250.183","1.2.222.18","TCP","70","28363  >  80 [ACK] Seq=1 Ack=1 Win=8688 Len=0 TSval=88609491 TSecr=379174892"
"65","0.000061","1.2.156.141","1.1.148.255","SSLv3","470","Application Data"
"66","0.000062","1.1.213.252","1.2.207.194","TCP","74","32892  >  80 [SYN] Seq=0 Win=5792 Len=0 MSS=1460 TSval=88609508 TSecr=0"
"67","0.000062","1.2.47.39","1.1.46.66","SSLv3","994","Application Data"
"68","0.000064","1.2.194.45","1.1.218.109","TCP","70","443  >  50919 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=379176762 TSecr=88607154"
"69","0.000064","1.1.162.43","1.2.49.19","TCP","70","35284  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8688 Len=0 TSval=88609529 TSecr=379175741"
"70","0.000066","1.2.249.30","1.1.248.194","TCP","70","443  >  64984 [ACK] Seq=1 Ack=1 Win=28960 Len=0 TSval=379176776 TSecr=88607754"
"71","0.000066","1.2.56.31","1.1.28.242","TCP","74","80  >  37081 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 TSval=379176782 TSecr=88608668"
"72","0.000070","1.2.105.82","1.1.212.72","TCP","70","443  >  57874 [FIN, ACK] Seq=401 Ack=1 Win=65535 Len=0 TSval=379176809 TSecr=88609310"
"73","0.000070","1.1.62.62","1.2.69.218","SSLv3","1439","Application Data"
"74","0.000071","1.1.57.212","1.2.61.254","TCP","70","17081  >  443 [ACK] Seq=1 Ack=1215 Win=24616 Len=0 TSval=88609574 TSecr=379176491"
"75","0.000071","1.1.132.44","1.2.140.133","TCP","70","37200  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=88609575 TSecr=379174261"
"76","0.000072","1.2.190.54","1.1.176.207","TCP","70","443  >  49920 [ACK] Seq=1 Ack=2 Win=23168 Len=0 TSval=379176830 TSecr=88609425"
"77","0.000072","1.1.184.65","1.2.184.171","SSLv3","693","Application Data"
"78","0.000073","1.1.157.223","1.2.67.218","TCP","70","18581  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8688 Len=0 TSval=88609594 TSecr=379174343"
"79","0.000073","1.1.101.212","1.2.105.194","TCP","70","28284  >  443 [FIN, ACK] Seq=1 Ack=2 Win=24616 Len=0 TSval=88609595 TSecr=379176595"
"80","0.000074","1.2.238.145","1.1.238.53","TCP","70","443  >  62294 [ACK] Seq=1 Ack=624 Win=30408 Len=0 TSval=379176845 TSecr=88609294"
"81","0.000075","1.1.33.12","1.2.33.104","TCP","70","9757  >  443 [ACK] Seq=1 Ack=1 Win=30408 Len=0 TSval=88609611 TSecr=379175718"
"82","0.000076","1.2.187.105","1.1.192.23","TCP","70","80  >  5156 [ACK] Seq=2 Ack=2 Win=7240 Len=0 TSval=379176857 TSecr=88609411"
"83","0.000077","1.2.173.60","1.1.17.179","SSLv3","470","Application Data"
"84","0.000078","1.2.49.19","1.1.162.43","TCP","70","80  >  35284 [ACK] Seq=1 Ack=2 Win=7240 Len=0 TSval=379176874 TSecr=88609529"
"85","0.000078","1.1.178.83","1.2.178.175","TCP","70","46953  >  443 [ACK] Seq=1 Ack=1 Win=31856 Len=0 TSval=88609639 TSecr=379174357"
