"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","1.2.222.94","1.1.242.235","SSLv3","1475","Application Data"
"2","0.000001","1.2.185.2","1.1.221.81","SSLv3","1475","Application Data"
"3","0.000002","1.2.207.187","1.1.88.78","SSLv3","1475","Application Data"
"4","0.000004","1.1.155.98","1.2.226.139","TCP","70","59203  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557328 TSecr=515122914"
"5","0.000005","1.1.139.116","1.2.99.66","TCP","70","26622  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557332 TSecr=515123266"
"6","0.000007","1.1.226.40","1.2.200.241","TCP","70","52652  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557352 TSecr=515124103"
"7","0.000008","1.1.29.54","1.2.66.149","TCP","70","64348  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557358 TSecr=515123711"
"8","0.000008","1.2.169.95","1.1.207.255","SSLv3","1475","Application Data"
"9","0.000010","1.2.112.144","1.1.249.147","SSLv3","1475","Application Data"
"10","0.000012","1.1.72.72","1.2.111.227","TCP","70","29855  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557387 TSecr=515123381"
"11","0.000014","1.1.53.187","1.2.232.48","TCP","70","60652  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557403 TSecr=515123856"
"12","0.000015","1.1.81.51","1.2.116.218","TCP","70","31124  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557419 TSecr=515123804"
"13","0.000016","1.2.153.99","1.1.190.104","SSLv3","1475","Application Data"
"14","0.000018","1.2.142.1","1.1.163.112","SSLv3","1475","Application Data"
"15","0.000020","1.1.215.6","1.2.191.99","TCP","70","48156  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557457 TSecr=515124246"
"16","0.000021","1.1.60.13","1.2.234.42","TCP","70","61159  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557466 TSecr=515123973"
"17","0.000023","1.1.124.127","1.2.35.50","TCP","70","10218  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557476 TSecr=515123352"
"18","0.000023","1.1.177.8","1.2.42.104","TCP","70","41762  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557478 TSecr=515123873"
"19","0.000023","1.1.95.175","1.2.2.14","TCP","70","47820  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557482 TSecr=515123151"
"20","0.000028","1.1.45.226","1.2.108.144","TCP","70","29023  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557520 TSecr=515124372"
"21","0.000029","1.1.82.242","1.2.119.40","TCP","70","31723  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557527 TSecr=515124277"
"22","0.000030","1.1.37.200","1.2.254.122","TCP","70","1850  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557538 TSecr=515124434"
"23","0.000031","1.1.49.28","1.2.236.106","TCP","70","61732  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557544 TSecr=515123430"
"24","0.000031","1.2.188.49","1.1.98.89","SSLv3","1475","Application Data"
"25","0.000032","1.1.122.176","1.2.38.27","TCP","70","38611  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557550 TSecr=515123161"
"26","0.000033","1.2.105.112","1.1.67.54","SSLv3","1475","Application Data"
"27","0.000034","1.2.140.170","1.1.16.62","SSLv3","1475","Application Data"
"28","0.000037","1.1.5.245","1.2.159.101","TCP","70","39968  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557589 TSecr=515124325"
"29","0.000038","1.1.75.56","1.2.198.28","TCP","70","51926  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557597 TSecr=515124444"
"30","0.000039","1.1.65.63","1.2.223.192","TCP","70","56442  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557607 TSecr=515123564"
"31","0.000039","1.1.188.222","1.2.132.81","TCP","70","13578  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557610 TSecr=515124170"
"32","0.000040","1.2.140.215","1.1.19.59","SSLv3","1475","Application Data"
"33","0.000041","1.1.129.154","1.2.88.254","TCP","70","61878  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557625 TSecr=515123372"
"34","0.000041","1.2.131.171","1.1.160.70","SSLv3","1475","Application Data"
"35","0.000047","1.1.148.34","1.2.75.20","TCP","70","2000  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557670 TSecr=515124226"
"36","0.000046","1.2.81.75","1.1.45.91","SSLv3","1475","Application Data"
"37","0.000047","1.1.221.81","1.2.185.2","TCP","70","4540  >  443 [ACK] Seq=1 Ack=1406 Win=65535 Len=0 TSval=224557671 TSecr=515124541"
"38","0.000047","1.1.249.147","1.2.112.144","TCP","70","30033  >  443 [ACK] Seq=1 Ack=1406 Win=65535 Len=0 TSval=224557674 TSecr=515124611"
"39","0.000047","1.2.118.108","1.1.82.6","SSLv3","1475","Application Data"
"40","0.000049","1.1.69.174","1.2.223.182","TCP","70","56440  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=224557687 TSecr=515123496"
"41","0.000048","1.2.195.103","1.1.75.244","SSLv3","1475","Application Data"
"42","0.000049","1.2.87.95","1.1.51.225","SSLv3","1475","Application Data"
"43","0.000051","1.1.88.78","1.2.207.187","TCP","70","52340  >  443 [ACK] Seq=1 Ack=1406 Win=65535 Len=0 TSval=224557701 TSecr=515124551"
