"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","1.2.102.211","1.1.210.113","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"2","0.000004","1.2.35.255","1.1.150.176","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"3","0.000018","1.2.82.130","1.1.80.23","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"4","0.000023","1.2.98.110","1.1.214.10","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"5","0.000027","1.2.22.55","1.1.161.211","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"6","0.000030","1.2.155.193","1.1.47.108","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"7","0.000034","1.2.142.16","1.1.57.187","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"8","0.000043","1.2.108.234","1.1.216.91","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"9","0.000047","1.2.88.187","1.1.175.234","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"10","0.000051","1.2.96.83","1.1.95.225","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"11","0.000055","1.2.115.45","1.1.198.186","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"12","0.000059","1.2.104.0","1.1.101.55","SSLv3","704","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"13","0.000277","1.1.32.33","1.2.32.122","TCP","70","39222  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262431744 TSecr=552469862"
"14","0.000296","1.1.252.93","1.2.252.207","TCP","70","19850  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262431896 TSecr=552946769"
"15","0.000404","1.1.169.119","1.2.29.241","TCP","70","44783  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262432762 TSecr=551539410"
"16","0.000542","1.1.241.250","1.2.70.80","TCP","70","63242  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262433859 TSecr=552365649"
"17","0.002676","1.1.171.111","1.2.31.197","TCP","70","39038  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262450931 TSecr=551439233"
"18","0.003235","1.1.48.115","1.2.132.200","TCP","70","13701  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262455404 TSecr=552365619"
"19","0.003682","1.1.162.28","1.2.22.114","TCP","70","42801  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262458984 TSecr=552365905"
"20","0.003764","1.1.100.200","1.2.209.29","TCP","70","27083  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262459640 TSecr=552844482"
"21","0.005173","1.1.43.232","1.2.153.15","TCP","70","35233  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262470908 TSecr=552327850"
"22","0.005192","1.1.246.228","1.2.67.71","TCP","70","62485  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262471062 TSecr=552327147"
"23","0.005438","1.1.229.179","1.2.82.9","TCP","70","22226  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262473030 TSecr=552328362"
"24","0.005523","1.1.31.229","1.2.148.58","TCP","70","39156  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262473712 TSecr=551260842"
"25","0.005580","1.1.243.42","1.2.71.153","TCP","70","19551  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262474167 TSecr=552365522"
"26","0.005604","1.1.36.104","1.2.144.189","TCP","70","10617  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262474355 TSecr=551539185"
"27","0.006087","1.1.57.187","1.2.142.16","TCP","70","16075  >  443 [ACK] Seq=1 Ack=635 Win=18824 Len=0 TSval=262478223 TSecr=552997038"
"28","0.006451","1.1.45.193","1.2.46.38","TCP","70","13032  >  443 [ACK] Seq=1 Ack=1 Win=18824 Len=0 TSval=262481137 TSecr=552946867"
